,name,type,displayName,pipLocation,displayPrecision,tradeUnitsPrecision,minimumTradeSize,maximumTrailingStopDistance,minimumTrailingStopDistance,maximumPositionSize,maximumOrderUnits,marginRate,guaranteedStopLossOrderMode,tags,financing,minimumGuaranteedStopLossDistance,guaranteedStopLossOrderExecutionPremium,guaranteedStopLossOrderLevelRestriction
0,LTC_USD,CFD,Litecoin,-1,2,2,0.01,1000.00,0.50,0,40000,0.5,DISABLED,"[{'type': 'ASSET_CLASS', 'name': 'CRYPTO'}]","{'longRate': '-0.2505', 'shortRate': '-0.2495', 'financingDaysOfWeek': [{'dayOfWeek': 'MONDAY', 'daysCharged': 1}, {'dayOfWeek': 'TUESDAY', 'daysCharged': 1}, {'dayOfWeek': 'WEDNESDAY', 'daysCharged': 1}, {'dayOfWeek': 'THURSDAY', 'daysCharged': 1}, {'dayOfWeek': 'FRIDAY', 'daysCharged': 3}, {'dayOfWeek': 'SATURDAY', 'daysCharged': 0}, {'dayOfWeek': 'SUNDAY', 'daysCharged': 0}]}",,,
1,HK33_HKD,CFD,Hong Kong 33,0,1,1,0.1,10000.0,5.0,0,2000,0.1,ALLOWED,"[{'type': 'ASSET_CLASS', 'name': 'INDEX'}]","{'longRate': '-0.0253', 'shortRate': '-0.0247', 'financingDaysOfWeek': [{'dayOfWeek': 'MONDAY', 'daysCharged': 1}, {'dayOfWeek': 'TUESDAY', 'daysCharged': 1}, {'dayOfWeek': 'WEDNESDAY', 'daysCharged': 1}, {'dayOfWeek': 'THURSDAY', 'daysCharged': 1}, {'dayOfWeek': 'FRIDAY', 'daysCharged': 3}, {'dayOfWeek': 'SATURDAY', 'daysCharged': 0}, {'dayOfWeek': 'SUNDAY', 'daysCharged': 0}]}",292,10.0,"{'volume': '100', 'priceRange': '100.0'}"
2,EUR_HUF,CURRENCY,EUR/HUF,-2,3,0,1,100.000,0.050,0,100000000,0.05,DISABLED,"[{'type': 'ASSET_CLASS', 'name': 'CURRENCY'}]","{'longRate': '-0.0695', 'shortRate': '0.0067', 'financingDaysOfWeek': [{'dayOfWeek': 'MONDAY', 'daysCharged': 1}, {'dayOfWeek': 'TUESDAY', 'daysCharged': 1}, {'dayOfWeek': 'WEDNESDAY', 'daysCharged': 1}, {'dayOfWeek': 'THURSDAY', 'daysCharged': 1}, {'dayOfWeek': 'FRIDAY', 'daysCharged': 1}, {'dayOfWeek': 'SATURDAY', 'daysCharged': 0}, {'dayOfWeek': 'SUNDAY', 'daysCharged': 0}]}",,,
3,FR40_EUR,CFD,France 40,0,1,1,0.1,10000.0,5.0,0,1000,0.05,ALLOWED,"[{'type': 'ASSET_CLASS', 'name': 'INDEX'}]","{'longRate': '-0.0192', 'shortRate': '-0.0308', 'financingDaysOfWeek': [{'dayOfWeek': 'MONDAY', 'daysCharged': 1}, {'dayOfWeek': 'TUESDAY', 'daysCharged': 1}, {'dayOfWeek': 'WEDNESDAY', 'daysCharged': 1}, {'dayOfWeek': 'THURSDAY', 'daysCharged': 1}, {'dayOfWeek': 'FRIDAY', 'daysCharged': 3}, {'dayOfWeek': 'SATURDAY', 'daysCharged': 0}, {'dayOfWeek': 'SUNDAY', 'daysCharged': 0}]}",66,1.5,"{'volume': '200', 'priceRange': '25.0'}"
4,EUR_DKK,CURRENCY,EUR/DKK,-4,5,0,1,1.00000,0.00050,0,100000000,0.1,DISABLED,"[{'type': 'ASSET_CLASS', 'name': 'CURRENCY'}]","{'longRate': '-0.0104', 'shortRate': '-0.0117', 'financingDaysOfWeek': [{'dayOfWeek': 'MONDAY', 'daysCharged': 1}, {'dayOfWeek': 'TUESDAY', 'daysCharged': 1}, {'dayOfWeek': 'WEDNESDAY', 'daysCharged': 1}, {'dayOfWeek': 'THURSDAY', 'daysCharged': 1}, {'dayOfWeek': 'FRIDAY', 'daysCharged': 1}, {'dayOfWeek': 'SATURDAY', 'daysCharged': 0}, {'dayOfWeek': 'SUNDAY', 'daysCharged': 0}]}",,,
5,XAU_CHF,METAL,Gold/CHF,-2,3,0,1,100.000,0.050,0,20000,0.05,DISABLED,"[{'type': 'KID_ASSET_CLASS', 'name': 'METAL'}, {'type': 'ASSET_CLASS', 'name': 'COMMODITY'}]","{'longRate': '-0.0036', 'shortRate': '-0.0198', 'financingDaysOfWeek': [{'dayOfWeek': 'MONDAY', 'daysCharged': 1}, {'dayOfWeek': 'TUESDAY', 'daysCharged': 1}, {'dayOfWeek': 'WEDNESDAY', 'daysCharged': 1}, {'dayOfWeek': 'THURSDAY', 'daysCharged': 1}, {'dayOfWeek': 'FRIDAY', 'daysCharged': 1}, {'dayOfWeek': 'SATURDAY', 'daysCharged': 0}, {'dayOfWeek': 'SUNDAY', 'daysCharged': 0}]}",,,
6,XPD_USD,CFD,Palladium,-2,3,0,1,100.000,0.050,0,5000,0.1,DISABLED,"[{'type': 'KID_ASSET_CLASS', 'name': 'METAL'}, {'type': 'ASSET_CLASS', 'name': 'COMMODITY'}]","{'longRate': '-0.033', 'shortRate': '-0.017', 'financingDaysOfWeek': [{'dayOfWeek': 'MONDAY', 'daysCharged': 1}, {'dayOfWeek': 'TUESDAY', 'daysCharged': 1}, {'dayOfWeek': 'WEDNESDAY', 'daysCharged': 1}, {'dayOfWeek': 'THURSDAY', 'daysCharged': 1}, {'dayOfWeek': 'FRIDAY', 'daysCharged': 1}, {'dayOfWeek': 'SATURDAY', 'daysCharged': 1}, {'dayOfWeek': 'SUNDAY', 'daysCharged': 1}]}",,,
7,BCO_USD,CFD,Brent Crude Oil,-2,3,0,1,100.000,0.050,0,100000,0.1,ALLOWED,"[{'type': 'ASSET_CLASS', 'name': 'COMMODITY'}]","{'longRate': '0.005', 'shortRate': '-0.055', 'financingDaysOfWeek': [{'dayOfWeek': 'MONDAY', 'daysCharged': 1}, {'dayOfWeek': 'TUESDAY', 'daysCharged': 1}, {'dayOfWeek': 'WEDNESDAY', 'daysCharged': 1}, {'dayOfWeek': 'THURSDAY', 'daysCharged': 1}, {'dayOfWeek': 'FRIDAY', 'daysCharged': 1}, {'dayOfWeek': 'SATURDAY', 'daysCharged': 1}, {'dayOfWeek': 'SUNDAY', 'daysCharged': 1}]}",1.50,0.060,"{'volume': '3000', 'priceRange': '0.250'}"
8,IN50_USD,CFD,India 50,0,1,1,0.1,10000.0,5.0,0,300,0.1,DISABLED,"[{'type': 'ASSET_CLASS', 'name': 'INDEX'}]","{'longRate': '-0.0255', 'shortRate': '-0.0245', 'financingDaysOfWeek': [{'dayOfWeek': 'MONDAY', 'daysCharged': 1}, {'dayOfWeek': 'TUESDAY', 'daysCharged': 1}, {'dayOfWeek': 'WEDNESDAY', 'daysCharged': 1}, {'dayOfWeek': 'THURSDAY', 'daysCharged': 1}, {'dayOfWeek': 'FRIDAY', 'daysCharged': 3}, {'dayOfWeek': 'SATURDAY', 'daysCharged': 0}, {'dayOfWeek': 'SUNDAY', 'daysCharged': 0}]}",,,
9,NATGAS_USD,CFD,Natural Gas,-2,3,0,1,100.000,0.050,0,1000000,0.1,DISABLED,"[{'type': 'ASSET_CLASS', 'name': 'COMMODITY'}]","{'longRate': '0.591', 'shortRate': '-0.641', 'financingDaysOfWeek': [{'dayOfWeek': 'MONDAY', 'daysCharged': 1}, {'dayOfWeek': 'TUESDAY', 'daysCharged': 1}, {'dayOfWeek': 'WEDNESDAY', 'daysCharged': 1}, {'dayOfWeek': 'THURSDAY', 'daysCharged': 1}, {'dayOfWeek': 'FRIDAY', 'daysCharged': 1}, {'dayOfWeek': 'SATURDAY', 'daysCharged': 1}, {'dayOfWeek': 'SUNDAY', 'daysCharged': 1}]}",,,
